Time,Time (ms),Motor speed (rpm),BLDC Q curent for monitoring,Filtered Q current (A),BLDC Ph A amps (abs) (A),BLDC Ph B amps (abs) (A),BLDC Ph C amps (abs) (A),Purge pressure (mHg),ivp purge temperature (C),Purge add flow rate (mlph),Purge add speed (rpm),Purge circulate flow rate (mlph),Purge circulate speed (rpm),BLDC watts (W),Flow_Original (lpm),Input pressure (mmHg),Output pressure (mmHg),Net pressure (mmHg),Flow (lpm),,,,
Mon Jan 30 2023,299727,20000.97,0.6043808,0.6047744,0.4179498,0.4363481,0.4307375,86.5,24.6,20,9.621398,800,103.1779,6.15239,4.116183105,-17.6339106,-63.38007,-42.8161594,4.380294008,,,,
Mon Jan 30 2023,305868,20001.07,0.6037353,0.6030928,0.4175889,0.4359399,0.4298034,84.4,24.6,20,9.621398,800,103.1779,6.174656,4.125629395,-18.0689454,-64.730178,-43.7312326,4.390614437,,,,
Mon Jan 30 2023,312008,19999.47,0.6050357,0.6052769,0.4184206,0.4368311,0.4321119,84.3,24.6,20,9.621398,800,103.1779,6.279874,4.149614746,-19.164033,-63.00504,-40.911007,4.416819345,,,,
Mon Jan 30 2023,318148,19999.86,0.6035838,0.6034641,0.4142296,0.4345897,0.42862,86.1,24.6,20,9.621398,800,103.1779,6.262234,4.15888623,-18.4439754,-66.230298,-44.8563226,4.426948793,,,,
Mon Jan 30 2023,324289,20000.02,0.603312,0.6033471,0.4158292,0.4347411,0.4294104,83.7,24.6,20,9.621398,800,103.1779,6.482722,4.148794922,-18.2789622,-67.805424,-46.5964618,4.415923655,,,,
Mon Jan 30 2023,330430,20001.28,0.6031108,0.6028274,0.4174545,0.4357675,0.4301466,85.3,24.6,20,9.621398,800,103.1779,6.444852,4.21031543,-19.0815264,-66.605328,-44.5938016,4.483137146,,,,
Mon Jan 30 2023,336571,20001.09,0.6034539,0.6037588,0.4203256,0.4367969,0.4310901,82.2,24.6,20,9.621398,800,103.1779,6.590816,4.165697754,-18.5189814,-67.280382,-45.8314006,4.434390641,,,,
Mon Jan 30 2023,342711,20000.95,0.6033071,0.603113,0.4171953,0.4350773,0.4305527,86.3,24.6,20,9.621398,800,103.1779,6.348787,4.18407373,-19.201536,-66.305304,-44.173768,4.454467093,,,,
Mon Jan 30 2023,348852,20000.19,0.603354,0.6043437,0.4158758,0.4337158,0.4306992,80.2,24.7,20,9.621398,800,103.1779,6.367512,4.184529297,-19.0665252,-68.930514,-46.9339888,4.454964817,,,,
Mon Jan 30 2023,354986,20002.35,0.6025459,0.6025559,0.4162565,0.4355008,0.4303124,84.3,24.7,20,9.621398,800,103.1779,6.074913,4.21819873,-19.2240378,-66.830346,-44.6763082,4.491749951,,,,
